Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201311,Ventura,64.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.99,51.9,303,5
201308,Nevada,52.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201311,Sanluisobispo,51.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.99,51.9,303,5
201308,Siskiyou,50.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201307,Santaclara,50.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201307,Alameda,88.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201305,Sanluisobispo,85.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201308,Calaveras,46.0,2.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201307,Mendocino,45.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201312,Ventura,44.0,0.0,0.0,0.0,0.0,0.0,-4.37,0.44,44.1,498,0
201307,Shasta,43.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201306,Riverside,82.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201309,Sanmateo,41.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201312,Santaclara,40.0,0.0,0.0,0.0,0.0,0.0,-4.37,0.44,44.1,498,0
201310,Orange,40.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.26,58.5,166,20
201311,Shasta,33.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.99,51.9,303,5
201307,Calaveras,31.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201309,Lake,30.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201306,Lake,83.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201304,Sanbernardino,30.0,0.0,0.0,0.0,0.0,0.0,-2.83,0.71,58.2,219,22
201306,Sonoma,28.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201306,Colusa,28.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201312,Mendocino,15.0,0.0,0.0,0.0,0.0,0.0,-4.37,0.44,44.1,498,0
201409,Eldorado,97831.0,12.0,0.0,80.0,0.0,29172000.0,-5.53,0.72,72.2,7,224
201408,Siskiyou,50042.0,0.0,0.0,0.0,0.0,0.0,-6.35,0.45,74.9,1,253
201407,Shasta,91289.0,32.0,0.0,41.0,0.0,8874860.0,-7.01,0.22,78.4,0,313
201407,Siskiyou,73331.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
201405,Sandiego,25953.0,6.0,0.0,40.0,0.0,19920800.0,-6.05,0.35,64.6,91,80
201407,Madera,13838.0,0.0,0.0,0.0,0.0,0.0,-7.01,0.22,78.4,0,313
